Time	Author	Year	Study	Region	Taxa	Fresh	Antarctic	S.Middle	Tropics	N.Middle	Arctic	Mtn	Island	Threatened	Endemic	Model.Type	Non.clim.threat	Land.Use.Change	Dispersal	Sp.int	Physiology	Adaptation	Pop.diff	Demography.LH	Earth.Sys	Other	Other.Habitat	Disp.Mod	Scenario	Climate.Mod	Pre.Ind.Rise	Year.Pred	Threshold	N.Ext	Total.N	percent	WtSp	adj.perc	version	concat
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.11	2020	0.8	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.1120201
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.11	2020	0.95	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.1120201
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.11	2020	1	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.1120201
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.92	2050	0.8	1	29	0.034482759	29	0.027586207	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.9220501
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.92	2050	0.95	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.9220501
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.92	2050	1	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.9220501
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	3.38	2080	0.8	2	29	0.068965517	29	0.055172414	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM33.3820801
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	3.38	2080	0.95	1	29	0.034482759	29	0.032758621	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM33.3820801
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	3.38	2080	1	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM33.3820801
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.05	2020	0.8	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.0520201
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.05	2020	0.95	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.0520201
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.05	2020	1	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.0520201
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.59	2050	0.8	1	29	0.034482759	29	0.027586207	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.5920501
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.59	2050	0.95	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.5920501
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.59	2050	1	0	29	0	29	0	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.5920501
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	2.7	2080	0.8	1	29	0.034482759	29	0.027586207	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM32.720801
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	2.7	2080	0.95	1	29	0.034482759	29	0.032758621	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM32.720801
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	2.7	2080	1	1	29	0.034482759	29	0.034482759	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM32.720801
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2050	0.8	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5520501
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2050	0.95	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5520501
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2050	1	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5520501
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2100	0.8	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5521001
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2100	0.95	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5521001
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2100	1	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5521001
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	2.31	2050	0.8	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20132.3120501
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	2.31	2050	0.95	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20132.3120501
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	2.31	2050	1	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20132.3120501
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	4.69	2100	0.8	1	188	0.005319149	188	0.004255319	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20134.6921001
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	4.69	2100	0.95	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20134.6921001
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	4.69	2100	1	0	188	0	188	0	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20134.6921001
