Time	Author	Year	Study	Region	Taxa	Fresh	Antarctic	S.Middle	Tropics	N.Middle	Arctic	Mtn	Island	Threatened	Endemic	Model.Type	Non.clim.threat	Land.Use.Change	Dispersal	Sp.int	Physiology	Adaptation	Pop.diff	Demography.LH	Earth.Sys	Other	Other.Habitat	Disp.Mod	Scenario	Climate.Mod	Pre.Ind.Rise	Year.Pred	Total.N	WtSp	version	concat	ave.percent	max.percent	min.percent	adj.percent
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.11	2020	29	29	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.1120201	0	0	0	0
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	1.92	2050	29	29	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM31.9220501	0.011494253	0.034482759	0	0.027586207
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	A2	HadCM3	3.38	2080	29	29	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalA2HadCM33.3820801	0.034482759	0.068965517	0	0.060344828
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.05	2020	29	29	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.0520201	0	0	0	0
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	1.59	2050	29	29	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM31.5920501	0.011494253	0.034482759	0	0.027586207
New	Abolafya	2013	Abolafya2013	Asia	Birds	N	N	N	N	Y	N	S	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	N	Universal	B2	HadCM3	2.7	2080	29	29	1	Abolafya2013AsiaBirdsNSDMNNNNNNNNNNNUniversalB2HadCM32.720801	0.034482759	0.034482759	0.034482759	0.034482759
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2050	188	188	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5520501	0	0	0	0
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP2.6	IPCC2013	1.55	2100	188	188	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP2.6IPCC20131.5521001	0	0	0	0
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	2.31	2050	188	188	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20132.3120501	0	0	0	0
New	Adam	2021	Adam2021	Marine	Invertebrates	N	N	Y	Y	N	N	N	N	N	N	SDM	N	N	N	N	N	N	N	N	N	N	Y	Universal	RCP8.5	IPCC2013	4.69	2100	188	188	1	Adam2021MarineInvertebratesNSDMNNNNNNNNNNYUniversalRCP8.5IPCC20134.6921001	0.00177305	0.005319149	0	0.004255319
